numer_sta;nom;
35005001;ARBRISSEL;
35057003;LA-CHAPELLE-BOUEXIC;
35110003;FEINS SA;
35162003;LOUVIGNE-DU-DESERT;
35202001;LA-NOE-BLANCHE;
35228001;DINARD;
35281001;RENNES-ST JACQUES;
44020001;NANTES-BOUGUENAIS;
44103001;ST NAZAIRE-MONTOIR;
44110002;NORT-SUR-ERDRE;
44181001;ST-MEME-LE-TENU;
49008001;ANGRIE;
49020001;BEAUCOUZE;
49099003;CHOLET;
49138001;FONTAINE-GUERIN;
49188001;MARCE;
49191001;MARTIGNE-BRIAND;
53096004;ERNEE;
53110002;GREZ-EN-BOUERE;
53116003;LE HORPS;
53130008;LAVAL-ETRONNIER;
56009003;BELLE-ILE_AERO;
56017003;BIGNAN;
56069001;ILE DE GROIX;
56151001;PONTIVY AERODROME;
56159001;PLEUCADEUC;
56165003;PLOERMEL;
56185001;LORIENT-LANN BIHOUE;
56186003;QUIBERON-AERODROME;
56243001;VANNES-SENE;
59183001;DUNKERQUE;
59343001;LILLE-LESQUIN;
59534001;ST-HILAIRE-SUR-HELPE;
59580003;STEENVOORDE;
59606004;VALENCIENNES;
61001001;ALENCON;
61006005;ARGENTAN;
61169003;FLERS;
61214002;L AIGLE;
61404001;ST-HILAIRE;
62054001;CAP-GRIS-NEZ;
62160001;BOULOGNE-SEM;
62298001;CAMBRAI-EPINOY;
62516002;LILLERS;
62548002;CALAIS-MARCK;
62685001;RADINGHEM;
62784001;SAULTY;
62826001;LE-TOUQUET;
62873001;ARRAS;
72172003;LE LUART;
72175002;LUCHE-PRINGE;
72181001;LE MANS;
72255001;ROUESSE-VASSE;
80001001;ABBEVILLE;
80086002;BERNAVILLE;
80182003;CAYEUX-SUR-MER;
80379002;AMIENS-GLISY;
80523001;MEAULTE;
80682001;ROUVROY-EN-SANTERRE;




